,Puntaje
2525,100
2526,100
2527,100
2528,100
2529,100
2530,100
2531,100
2532,100
2533,100
2534,100
2535,100
2536,100
2537,100
2538,100
2539,100
2540,100
2541,100
2542,100
2543,100
2544,100
2545,100
2546,100
2547,100
2548,100
2549,100
2550,100
2551,100
2552,100
2553,100
2554,100
2555,100
2556,100
2557,100
2558,100
2559,100
2560,100
2561,100
2562,100
2563,100
2564,100
2565,100
2566,100
2567,100
2568,100
2569,100
2570,100
2571,100
2572,100
2573,100
2574,100
2575,100
2576,100
2577,100
2578,100
2579,100
2580,100
2581,100
2582,100
2583,100
2584,100
2585,100
2586,100
2587,100
2588,100
2589,100
2590,100
2591,100
2592,100
2593,100
2594,100
2595,100
2596,100
2597,100
2598,100
2599,100
2600,100
2601,100
2602,100
2603,100
2604,100
2605,100
2606,100
2607,100
2608,100
2609,100
2610,100
2611,100
2612,100
2613,100
2614,100
2615,100
2616,100
2617,100
2618,100
2619,100
2620,100
2621,100
2622,100
2623,100
2624,100
2625,100
2626,100
2627,100
2628,100
2629,100
2630,100
2631,100
2632,100
2633,100
2634,100
2635,100
2636,100
2637,100
2638,100
2639,100
2640,100
2641,100
2642,100
2643,100
2644,100
2645,100
2646,100
2647,100
2648,100
2649,100
2650,100
2651,100
2652,100
2653,100
2654,100
2655,100
2656,100
2657,100
2658,100
2659,100
2660,100
2661,100
2662,100
2663,100
2664,100
2665,100
2666,100
2667,100
2668,100
2669,100
2670,100
2671,100
2672,100
2673,100
2674,100
2675,100
2676,100
2677,100
2678,100
2679,100
2680,100
2681,100
2682,100
2683,100
2684,100
2685,100
2686,100
2687,100
2688,100
2689,100
2690,100
2691,100
2692,100
2693,100
2694,100
2695,100
2696,100
2697,100
2698,100
2699,100
2700,100
2701,100
2702,100
2703,100
2704,100
2705,100
2706,100
2707,100
2708,100
2709,100
2710,100
2711,100
2712,100
2713,100
2714,100
2715,100
2716,100
2717,100
2718,100
2719,100
2720,100
2721,100
2722,100
2723,100
2724,100
2725,100
2726,100
2727,100
2728,100
2729,100
2730,100
2731,100
2732,100
2733,100
2734,100
2735,100
2736,100
2737,100
2738,100
2739,100
2740,100
2741,100
2742,100
2743,100
2744,100
2745,100
2746,100
2747,100
2748,100
2749,100
2750,100
2751,100
2752,100
2753,100
2754,100
2755,100
2756,100
2757,100
2758,100
2759,100
2760,100
2761,100
2762,100
2763,100
2764,100
2765,100
2766,100
2767,100
2768,100
2769,100
2770,100
2771,100
2772,100
2773,100
2774,100
2775,100
2776,100
2777,100
2778,100
2779,100
2780,100
2781,100
2782,100
2783,100
2784,100
2785,100
2786,100
2787,100
2788,100
2789,100
2790,100
2791,100
2792,100
2793,100
2794,100
2795,100
2796,100
2797,100
2798,100
2799,100
2800,100
2801,100
2802,100
2803,100
2804,100
2805,100
2806,100
2807,100
2808,100
2809,100
2810,100
2811,100
2812,100
2813,100
2814,100
2815,100
2816,100
2817,100
2818,100
2819,100
2820,100
2821,100
2822,100
2823,100
2824,100
2825,100
2826,100
2827,100
2828,100
2829,100
2830,100
2831,100
2832,100
2833,100
2834,100
2835,100
2836,100
2837,100
2838,100
2839,100
2840,100
2841,100
2842,100
2843,100
2844,100
2845,100
2846,100
2847,100
2848,100
2849,100
2850,100
2851,100
2852,100
2853,100
2854,100
2855,100
2856,100
2857,100
2858,100
2859,100
2860,100
2861,100
2862,100
2863,100
2864,100
2865,100
2866,100
2867,100
2868,100
2869,100
2870,100
2871,100
2872,100
2873,100
2874,100
2875,100
2876,100
2877,100
2878,100
2879,100
2880,100
2881,100
2882,100
2883,100
2884,100
2885,100
2886,100
2887,100
2888,100
2889,100
2890,100
2891,100
2892,100
2893,100
2894,100
2895,100
2896,100
2897,100
2898,100
2899,100
2900,100
2901,100
2902,100
2903,100
2904,100
2905,100
2906,100
2907,100
2908,100
2909,100
2910,100
2911,100
2912,100
2913,100
2914,100
2915,100
2916,100
2917,100
2918,100
2919,100
2920,100
2921,100
2922,100
2923,100
2924,100
2925,100
2926,100
2927,100
2928,100
2929,100
2930,100
2931,100
2932,100
2933,100
2934,100
2935,100
2936,100
2937,100
2938,100
2939,100
2940,100
2941,100
2942,100
2943,100
2944,100
2945,100
2946,100
2947,100
2948,100
2949,100
2950,100
2951,100
2952,100
2953,100
2954,100
2955,100
2956,100
2957,100
2958,100
2959,100
2960,100
2961,100
2962,100
2963,100
2964,100
2965,100
2966,100
2967,100
2968,100
2969,100
2970,100
2971,100
2972,100
2973,100
2974,100
2975,100
2976,100
2977,100
2978,100
2979,100
2980,100
2981,100
2982,100
2983,100
2984,100
2985,100
2986,100
2987,100
2988,100
2989,100
2990,100
2991,100
2992,100
2993,100
2994,100
2995,100
2996,100
2997,100
2998,100
2999,100
3000,100
3001,100
3002,100
3003,100
3004,100
3005,100
3006,100
3007,100
3008,100
3009,100
3010,100
3011,100
3012,100
3013,100
3014,100
3015,100
3016,100
3017,100
3018,100
3019,100
3020,100
3021,100
3022,100
3023,100
3024,100
3025,100
3026,100
3027,100
3028,100
3029,100
3030,100
3031,100
3032,100
3033,100
3034,100
3035,100
3036,100
3037,100
3038,100
3039,100
3040,100
3041,100
3042,100
3043,100
3044,100
3045,100
3046,100
3047,100
3048,100
3049,100
3050,100
3051,100
3052,100
3053,100
3054,100
3055,100
3056,100
3057,100
3058,100
3059,100
3060,100
3061,100
3062,100
3063,100
3064,100
3065,100
3066,100
3067,100
3068,100
3069,100
3070,100
3071,100
3072,100
3073,100
3074,100
3075,100
3076,100
3077,100
3078,100
3079,100
3080,100
3081,100
3082,100
3083,100
3084,100
3085,100
3086,100
3087,100
3088,100
3089,100
3090,100
3091,100
3092,100
3093,100
3094,100
3095,100
3096,100
3097,100
3098,100
3099,100
3100,100
3101,100
3102,100
3103,100
3104,100
3105,100
3106,100
3107,100
3108,100
3109,100
3110,100
3111,100
3112,100
3113,100
3114,100
3115,100
3116,100
3117,100
3118,100
3119,100
3120,100
3121,100
3122,100
3123,100
3124,100
3125,100
3126,100
3127,100
3128,100
3129,100
3130,100
3131,100
3132,100
3133,100
3134,100
3135,100
3136,100
3137,100
3138,100
3139,100
3140,100
3141,100
3142,100
3143,100
3144,100
3145,100
3146,100
3147,100
3148,100
3149,100
3150,100
3151,100
3152,100
3153,100
3154,100
3155,100
3156,100
3157,100
3158,100
3159,100
3160,100
3161,100
3162,100
3163,100
3164,100
3165,100
3166,100
3167,100
3168,100
3169,100
3170,100
3171,100
3172,100
3173,100
3174,100
3175,100
3176,100
3177,100
3178,100
3179,100
3180,100
3181,100
3182,100
3183,100
3184,100
3185,100
3186,100
3187,100
3188,100
3189,100
3190,100
3191,100
3192,100
3193,100
3194,100
3195,100
3196,100
3197,100
3198,100
3199,100
3200,100
3201,100
3202,100
3203,100
3204,100
3205,100
3206,100
3207,100
3208,100
3209,100
3210,100
3211,100
3212,100
3213,100
3214,100
3215,100
3216,100
3217,100
3218,100
3219,100
3220,100
3221,100
3222,100
3223,100
3224,100
3225,100
3226,100
3227,100
3228,100
3229,100
3230,100
3231,100
3232,100
3233,100
3234,100
3235,100
3236,100
3237,100
3238,100
3239,100
3240,100
3241,100
3242,100
3243,100
3244,100
3245,100
3246,100
3247,100
3248,100
3249,100
3250,100
3251,100
3252,100
3253,100
3254,100
3255,100
3321,81.93730729701953
3322,81.93730729701953
3323,81.93730729701953
3324,81.93730729701953
3325,81.93730729701953
3326,81.93730729701953
3327,81.93730729701953
3328,81.93730729701953
3329,81.93730729701953
3330,81.93730729701953
3331,81.93730729701953
3332,81.93730729701953
3333,81.93730729701953
3334,81.93730729701953
3335,81.93730729701953
3336,81.93730729701953
3337,81.93730729701953
3338,81.93730729701953
3339,81.93730729701953
3340,81.93730729701953
3341,81.93730729701953
3342,81.93730729701953
3343,81.93730729701953
3344,81.93730729701953
3345,81.93730729701953
3346,81.93730729701953
3347,81.93730729701953
3348,81.93730729701953
3349,81.93730729701953
3350,81.93730729701953
3351,81.93730729701953
3352,81.93730729701953
3353,81.93730729701953
3354,81.93730729701953
3355,81.93730729701953
3356,81.93730729701953
3357,81.93730729701953
3358,81.93730729701953
3359,81.93730729701953
3360,81.93730729701953
3361,81.93730729701953
3362,81.93730729701953
3363,81.93730729701953
3364,81.93730729701953
3365,81.93730729701953
3366,81.93730729701953
3367,81.93730729701953
3368,81.93730729701953
3369,81.93730729701953
3370,81.93730729701953
3371,81.93730729701953
3372,81.93730729701953
3373,81.93730729701953
3374,81.93730729701953
3375,81.93730729701953
3376,81.93730729701953
3377,81.93730729701953
3378,81.93730729701953
3379,81.93730729701953
3380,81.93730729701953
3381,81.93730729701953
3382,81.93730729701953
3383,81.93730729701953
3384,81.93730729701953
3385,81.93730729701953
3386,81.93730729701953
3387,81.93730729701953
3388,81.93730729701953
3389,81.93730729701953
3390,81.93730729701953
3391,81.93730729701953
3392,81.93730729701953
3393,81.93730729701953
3394,81.93730729701953
3395,81.93730729701953
3396,81.93730729701953
3397,81.93730729701953
3398,81.93730729701953
3399,81.93730729701953
3400,81.93730729701953
3401,81.93730729701953
3402,81.93730729701953
3403,81.93730729701953
3404,81.93730729701953
3405,81.93730729701953
3406,81.93730729701953
3407,81.93730729701953
3408,81.93730729701953
3409,81.93730729701953
3410,81.93730729701953
3411,81.93730729701953
3412,81.93730729701953
3413,81.93730729701953
3414,81.93730729701953
3415,81.93730729701953
3416,81.93730729701953
3417,81.93730729701953
3418,81.93730729701953
3419,81.93730729701953
3420,81.93730729701953
3421,81.93730729701953
3422,81.93730729701953
3423,81.93730729701953
3424,81.93730729701953
3425,81.93730729701953
3426,81.93730729701953
3427,81.93730729701953
3428,81.93730729701953
3429,81.93730729701953
3430,81.93730729701953
3431,81.93730729701953
3432,81.93730729701953
3433,81.93730729701953
3434,81.93730729701953
3435,81.93730729701953
3436,81.93730729701953
3437,81.93730729701953
3438,81.93730729701953
3439,81.93730729701953
3440,81.93730729701953
3441,81.93730729701953
3442,81.93730729701953
3443,81.93730729701953
3444,81.93730729701953
3445,81.93730729701953
3446,81.93730729701953
3447,81.93730729701953
3448,81.93730729701953
3449,81.93730729701953
3450,81.93730729701953
3451,81.93730729701953
3452,81.93730729701953
3453,81.93730729701953
3454,81.93730729701953
3455,81.93730729701953
3456,81.93730729701953
3457,81.93730729701953
3458,81.93730729701953
3459,81.93730729701953
3460,81.93730729701953
3461,81.93730729701953
3462,81.93730729701953
3463,81.93730729701953
3464,81.93730729701953
3465,81.93730729701953
3466,81.93730729701953
3467,81.93730729701953
3468,81.93730729701953
3469,81.93730729701953
3470,81.93730729701953
3471,81.93730729701953
3472,81.93730729701953
3473,81.93730729701953
3474,81.93730729701953
3475,81.93730729701953
3476,81.93730729701953
3477,81.93730729701953
3478,81.93730729701953
3479,81.93730729701953
3480,81.93730729701953
3481,81.93730729701953
3482,81.93730729701953
3483,81.93730729701953
3484,81.93730729701953
3485,81.93730729701953
3486,81.93730729701953
3487,81.93730729701953
3488,81.93730729701953
3489,81.93730729701953
3490,81.93730729701953
3491,81.93730729701953
3492,81.93730729701953
3493,81.93730729701953
3494,81.93730729701953
3495,81.93730729701953
3496,81.93730729701953
3497,81.93730729701953
3498,81.93730729701953
3499,81.93730729701953
3500,81.93730729701953
3501,81.93730729701953
3502,81.93730729701953
3503,81.93730729701953
3504,81.93730729701953
3505,81.93730729701953
3506,81.93730729701953
3507,81.93730729701953
3508,81.93730729701953
3509,81.93730729701953
3510,81.93730729701953
3511,81.93730729701953
3512,81.93730729701953
3513,81.93730729701953
3514,81.93730729701953
3515,81.93730729701953
3516,81.93730729701953
3517,81.93730729701953
3518,81.93730729701953
3519,81.93730729701953
3520,81.93730729701953
3521,81.93730729701953
3522,81.93730729701953
3523,81.93730729701953
3524,81.93730729701953
3525,81.93730729701953
3526,81.93730729701953
3527,81.93730729701953
3528,81.93730729701953
3529,81.93730729701953
3530,81.93730729701953
3531,81.93730729701953
3532,81.93730729701953
3533,81.93730729701953
3534,81.93730729701953
3535,81.93730729701953
3536,81.93730729701953
3537,81.93730729701953
3538,81.93730729701953
3539,81.93730729701953
3540,81.93730729701953
3541,81.93730729701953
3542,81.93730729701953
3543,81.93730729701953
3544,81.93730729701953
3545,81.93730729701953
3546,81.93730729701953
3547,81.93730729701953
3548,81.93730729701953
3549,81.93730729701953
3550,81.93730729701953
3551,81.93730729701953
3552,81.93730729701953
3553,81.93730729701953
3554,81.93730729701953
3555,81.93730729701953
3556,81.93730729701953
3557,81.93730729701953
3558,81.93730729701953
3559,81.93730729701953
3560,81.93730729701953
3561,81.93730729701953
3562,81.93730729701953
3563,81.93730729701953
3564,81.93730729701953
3565,81.93730729701953
3566,81.93730729701953
3567,81.93730729701953
3568,81.93730729701953
3569,81.93730729701953
3570,81.93730729701953
3571,81.93730729701953
3572,81.93730729701953
3573,81.93730729701953
3574,81.93730729701953
3575,81.93730729701953
3576,81.93730729701953
3577,81.93730729701953
3578,81.93730729701953
3579,81.93730729701953
3580,81.93730729701953
3581,81.93730729701953
3582,81.93730729701953
3583,81.93730729701953
3584,81.93730729701953
3585,81.93730729701953
3586,81.93730729701953
3587,81.93730729701953
3588,81.93730729701953
3589,81.93730729701953
3590,81.93730729701953
3591,81.93730729701953
3592,81.93730729701953
3593,81.93730729701953
3594,81.93730729701953
3595,81.93730729701953
3596,81.93730729701953
3597,81.93730729701953
3598,81.93730729701953
3599,81.93730729701953
3600,81.93730729701953
3601,81.93730729701953
3602,81.93730729701953
3603,81.93730729701953
3604,81.93730729701953
3605,81.93730729701953
3606,81.93730729701953
3607,81.93730729701953
3608,81.93730729701953
3609,81.93730729701953
3610,81.93730729701953
3611,81.93730729701953
3612,81.93730729701953
3613,81.93730729701953
3614,81.93730729701953
3615,81.93730729701953
3616,81.93730729701953
3617,81.93730729701953
3618,81.93730729701953
3619,81.93730729701953
3620,81.93730729701953
3621,81.93730729701953
3622,81.93730729701953
3623,81.93730729701953
3624,81.93730729701953
3625,81.93730729701953
3626,81.93730729701953
3627,81.93730729701953
3628,81.93730729701953
3629,81.93730729701953
3630,81.93730729701953
3631,81.93730729701953
3632,81.93730729701953
3633,81.93730729701953
3634,81.93730729701953
3635,81.93730729701953
3636,81.93730729701953
3637,81.93730729701953
3638,81.93730729701953
3639,81.93730729701953
3640,81.93730729701953
3641,81.93730729701953
3642,81.93730729701953
3643,81.93730729701953
3644,81.93730729701953
3645,81.93730729701953
3646,81.93730729701953
3647,81.93730729701953
3648,81.93730729701953
3649,81.93730729701953
3650,81.93730729701953
3651,81.93730729701953
3652,81.93730729701953
3653,81.93730729701953
3654,81.93730729701953
3655,81.93730729701953
3656,81.93730729701953
3657,81.93730729701953
3658,81.93730729701953
3659,81.93730729701953
3660,81.93730729701953
3661,81.93730729701953
3662,81.93730729701953
3663,81.93730729701953
3664,81.93730729701953
3665,81.93730729701953
3666,81.93730729701953
3667,81.93730729701953
3668,81.93730729701953
3669,81.93730729701953
3670,81.93730729701953
3671,81.93730729701953
3672,81.93730729701953
3673,81.93730729701953
3674,81.93730729701953
3675,81.93730729701953
3676,81.93730729701953
3677,81.93730729701953
3678,81.93730729701953
3679,81.93730729701953
3680,81.93730729701953
3681,81.93730729701953
3682,81.93730729701953
3683,81.93730729701953
3695,81.88591983556012
3696,81.88591983556012
3697,81.88591983556012
3698,81.88591983556012
3699,81.88591983556012
3700,81.88591983556012
3701,81.88591983556012
3702,81.88591983556012
3703,81.88591983556012
3704,81.88591983556012
3705,81.88591983556012
3706,81.88591983556012
3707,81.88591983556012
3708,81.88591983556012
3709,81.88591983556012
3710,81.88591983556012
3711,81.88591983556012
3712,81.88591983556012
3713,81.88591983556012
3714,81.88591983556012
3715,81.88591983556012
3716,81.88591983556012
3717,81.88591983556012
3718,81.88591983556012
3719,81.88591983556012
3720,81.88591983556012
3721,81.88591983556012
3722,81.88591983556012
3723,81.88591983556012
3724,81.88591983556012
3725,81.88591983556012
3726,81.88591983556012
3727,81.88591983556012
3728,81.88591983556012
3729,81.88591983556012
3730,81.88591983556012
3731,81.88591983556012
3732,81.88591983556012
3733,81.88591983556012
3734,81.88591983556012
3735,81.88591983556012
3736,81.88591983556012
3737,81.88591983556012
3738,81.88591983556012
3739,81.88591983556012
3740,81.88591983556012
3741,81.88591983556012
3742,81.88591983556012
3743,81.88591983556012
3744,81.88591983556012
3745,81.88591983556012
3746,81.88591983556012
3747,81.88591983556012
3748,81.88591983556012
3749,81.88591983556012
3750,81.88591983556012
3751,81.88591983556012
3752,81.88591983556012
3753,81.88591983556012
3754,81.88591983556012
3755,81.88591983556012
3756,81.88591983556012
3757,81.88591983556012
3758,81.88591983556012
3759,81.88591983556012
3760,81.88591983556012
3761,81.88591983556012
3762,81.88591983556012
3763,81.88591983556012
3764,81.88591983556012
3765,81.88591983556012
3766,81.88591983556012
3767,81.88591983556012
3768,81.88591983556012
3769,81.88591983556012
3770,81.88591983556012
3771,81.88591983556012
3772,81.88591983556012
3773,81.88591983556012
3774,81.88591983556012
3775,81.88591983556012
3776,81.88591983556012
3777,81.88591983556012
3778,81.88591983556012
3779,81.88591983556012
3780,81.88591983556012
3781,81.88591983556012
3782,81.88591983556012
3783,81.88591983556012
3784,81.88591983556012
3785,81.88591983556012
3786,81.88591983556012
3787,81.88591983556012
3788,81.88591983556012
3789,81.88591983556012
3790,81.88591983556012
3791,81.88591983556012
3792,81.88591983556012
3793,81.88591983556012
3794,81.88591983556012
3795,81.88591983556012
3796,81.88591983556012
3797,81.88591983556012
3798,81.88591983556012
3799,81.88591983556012
3800,81.88591983556012
3801,81.88591983556012
3802,81.88591983556012
3803,81.88591983556012
3804,81.88591983556012
3805,81.88591983556012
3806,81.88591983556012
3807,81.88591983556012
3808,81.88591983556012
3809,81.88591983556012
3810,81.88591983556012
3811,81.88591983556012
3812,81.88591983556012
3813,81.88591983556012
3814,81.88591983556012
3815,81.88591983556012
3816,81.88591983556012
3817,81.88591983556012
3818,81.88591983556012
3819,81.88591983556012
3820,81.88591983556012
3821,81.88591983556012
3822,81.88591983556012
3823,81.88591983556012
3824,81.88591983556012
3825,81.88591983556012
3826,81.88591983556012
3827,81.88591983556012
3828,81.88591983556012
3829,81.88591983556012
3830,81.88591983556012
3831,81.88591983556012
3832,81.88591983556012
3833,81.88591983556012
3834,81.88591983556012
3835,81.88591983556012
3836,81.88591983556012
3837,81.88591983556012
3838,81.88591983556012
3839,81.88591983556012
3840,81.88591983556012
3841,81.88591983556012
3842,81.88591983556012
3843,81.88591983556012
3844,81.88591983556012
3845,81.88591983556012
3846,81.88591983556012
3847,81.88591983556012
3848,81.88591983556012
3849,81.88591983556012
3850,81.88591983556012
3851,81.88591983556012
3852,81.88591983556012
3853,81.88591983556012
3854,81.88591983556012
3855,81.88591983556012
3856,81.88591983556012
3857,81.88591983556012
3858,81.88591983556012
3859,81.88591983556012
3860,81.88591983556012
3861,81.88591983556012
3862,81.88591983556012
3863,81.88591983556012
3864,81.88591983556012
3865,81.88591983556012
3866,81.88591983556012
3867,81.88591983556012
3868,81.88591983556012
3869,81.88591983556012
3870,81.88591983556012
3871,81.88591983556012
3872,81.88591983556012
3873,81.88591983556012
3874,81.88591983556012
3883,81.62898252826311
3884,81.62898252826311
3885,81.62898252826311
3886,81.62898252826311
3887,81.62898252826311
3888,81.62898252826311
3889,81.62898252826311
3890,81.62898252826311
3891,81.62898252826311
3892,81.62898252826311
3893,81.62898252826311
3894,81.62898252826311
3895,81.62898252826311
3896,81.62898252826311
3897,81.62898252826311
3898,81.62898252826311
3899,81.62898252826311
3900,81.62898252826311
3901,81.62898252826311
3902,81.62898252826311
3903,81.62898252826311
3904,81.62898252826311
3905,81.62898252826311
3906,81.62898252826311
3907,81.62898252826311
3908,81.62898252826311
3909,81.62898252826311
3910,81.62898252826311
3911,81.62898252826311
3912,81.62898252826311
3913,81.62898252826311
3914,81.62898252826311
3915,81.62898252826311
3916,81.62898252826311
3917,81.62898252826311
3918,81.62898252826311
3919,81.62898252826311
3920,81.62898252826311
3921,81.62898252826311
3922,81.62898252826311
3923,81.62898252826311
3924,81.62898252826311
3925,81.62898252826311
3926,81.62898252826311
3927,81.62898252826311
3928,81.62898252826311
3929,81.62898252826311
3930,81.62898252826311
3931,81.62898252826311
3932,81.62898252826311
3933,81.62898252826311
3934,81.62898252826311
3935,81.62898252826311
3936,81.62898252826311
3937,81.62898252826311
3938,81.62898252826311
3939,81.62898252826311
3940,81.62898252826311
3941,81.62898252826311
3942,81.62898252826311
3943,81.62898252826311
3944,81.62898252826311
3945,81.62898252826311
3946,81.62898252826311
3947,81.62898252826311
3948,81.62898252826311
3949,81.62898252826311
3950,81.62898252826311
3951,81.62898252826311
3952,81.62898252826311
3953,81.62898252826311
3954,81.62898252826311
3955,81.62898252826311
3956,81.62898252826311
3957,81.62898252826311
3958,81.62898252826311
3959,81.62898252826311
3960,81.62898252826311
3961,81.62898252826311
3962,81.62898252826311
3963,81.62898252826311
3964,81.62898252826311
3965,81.62898252826311
3966,81.62898252826311
3967,81.62898252826311
3968,81.62898252826311
3969,81.62898252826311
3970,81.62898252826311
3971,81.62898252826311
3972,81.62898252826311
3973,81.62898252826311
3974,81.62898252826311
3975,81.62898252826311
3976,81.62898252826311
3977,81.62898252826311
3978,81.62898252826311
3979,81.62898252826311
3980,81.62898252826311
3981,81.62898252826311
3982,81.62898252826311
3983,81.62898252826311
3984,81.62898252826311
3985,81.62898252826311
3986,81.62898252826311
3987,81.62898252826311
3988,81.62898252826311
3989,81.62898252826311
3990,81.62898252826311
3991,81.62898252826311
3992,81.62898252826311
3993,81.62898252826311
3994,81.62898252826311
3995,81.62898252826311
3996,81.62898252826311
3997,81.62898252826311
3998,81.62898252826311
3999,81.62898252826311
4000,81.62898252826311
4001,81.62898252826311
4002,81.62898252826311
4003,81.62898252826311
4004,81.62898252826311
4005,81.62898252826311
4006,81.62898252826311
4007,81.62898252826311
4008,81.62898252826311
4009,81.62898252826311
4010,81.62898252826311
4011,81.62898252826311
4012,81.62898252826311
4013,81.62898252826311
4014,81.62898252826311
4015,81.62898252826311
4016,81.62898252826311
4017,81.62898252826311
4018,81.62898252826311
4019,81.62898252826311
4020,81.62898252826311
4021,81.62898252826311
4022,81.62898252826311
4023,81.62898252826311
4024,81.62898252826311
4025,81.62898252826311
4026,81.62898252826311
4027,81.62898252826311
4028,81.62898252826311
4029,81.62898252826311
4030,81.62898252826311
4031,81.62898252826311
4032,81.62898252826311
4033,81.62898252826311
4034,81.62898252826311
4035,81.62898252826311
4036,81.62898252826311
4037,81.62898252826311
4038,81.62898252826311
4039,81.62898252826311
4040,81.62898252826311
4041,81.62898252826311
4042,81.62898252826311
4043,81.62898252826311
4044,81.62898252826311
4045,81.62898252826311
4046,81.62898252826311
4047,81.62898252826311
4048,81.62898252826311
4049,81.62898252826311
4050,81.62898252826311
4051,81.62898252826311
4052,81.62898252826311
4053,81.62898252826311
4054,81.62898252826311
4055,81.62898252826311
4056,81.62898252826311
4057,81.62898252826311
4058,81.62898252826311
4059,81.62898252826311
4060,81.62898252826311
4061,81.62898252826311
4062,81.62898252826311
4063,81.62898252826311
4064,81.62898252826311
4065,81.62898252826311
4066,81.62898252826311
4067,81.62898252826311
4068,81.62898252826311
4069,81.62898252826311
4070,81.62898252826311
